epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,44.5343,0.84203,0.6357,0.88695,0.92978,0.72222,0.7196,0.64764,1.05479,1.57456,1.27619,0.000648071,0.000648071,0.000648071
124,44.8984,0.88272,0.67227,0.9023,0.9193,0.72222,0.71955,0.63101,1.0731,1.53264,1.29289,0.000643101,0.000643101,0.000643101
125,45.2435,1.00411,0.68477,0.911,0.9193,0.72222,0.71955,0.63101,1.0731,1.53264,1.29289,0.000638115,0.000638115,0.000638115
126,45.6122,0.84886,0.66896,0.89353,0.91517,0.72222,0.7195,0.63097,1.0751,1.51057,1.30286,0.000633115,0.000633115,0.000633115
127,45.9743,0.96457,0.69876,0.92581,0.91517,0.72222,0.7195,0.63097,1.0751,1.51057,1.30286,0.000628101,0.000628101,0.000628101
128,46.3379,0.78227,0.6113,0.93988,0.82329,0.72222,0.71946,0.63093,1.08513,1.52962,1.31177,0.000623074,0.000623074,0.000623074
129,46.6837,0.79633,0.5963,0.85478,0.82329,0.72222,0.71946,0.63093,1.08513,1.52962,1.31177,0.000618034,0.000618034,0.000618034
130,47.0447,0.76342,0.56427,0.86054,0.77615,0.72222,0.71944,0.66404,1.04572,1.49661,1.27027,0.000612981,0.000612981,0.000612981
131,47.3917,0.70096,0.54552,0.86705,0.77615,0.72222,0.71944,0.66404,1.04572,1.49661,1.27027,0.000607916,0.000607916,0.000607916
132,47.7577,0.72541,0.59303,0.87241,0.76901,0.72222,0.7195,0.63658,1.03411,1.43451,1.2654,0.00060284,0.00060284,0.00060284
133,48.104,0.81951,0.60482,0.8749,0.76901,0.72222,0.7195,0.63658,1.03411,1.43451,1.2654,0.000597754,0.000597754,0.000597754
134,48.4528,0.77339,0.64466,0.89544,0.84276,0.72222,0.71969,0.6311,0.90455,1.29478,1.1909,0.000592657,0.000592657,0.000592657
135,48.7856,0.74064,0.56087,0.88434,0.84276,0.72222,0.71969,0.6311,0.90455,1.29478,1.1909,0.000587551,0.000587551,0.000587551
136,49.1495,0.93575,0.59069,0.98779,0.882,0.72222,0.71991,0.63132,0.95758,1.35524,1.2229,0.000582435,0.000582435,0.000582435
137,49.4893,0.82455,0.66039,0.90561,0.882,0.72222,0.71991,0.63132,0.95758,1.35524,1.2229,0.000577311,0.000577311,0.000577311
138,49.8664,0.78691,0.63169,0.91369,0.89886,0.72222,0.72004,0.63144,1.03756,1.44242,1.28487,0.000572179,0.000572179,0.000572179
139,50.2123,0.82623,0.61018,0.90137,0.89886,0.72222,0.72004,0.63144,1.03756,1.44242,1.28487,0.00056704,0.00056704,0.00056704
140,50.5742,0.7271,0.58163,0.86769,0.7781,0.71624,0.72046,0.64312,0.94814,1.3165,1.19591,0.000561894,0.000561894,0.000561894
141,50.9188,0.84273,0.76668,0.92089,0.7781,0.71624,0.72046,0.64312,0.94814,1.3165,1.19591,0.000556742,0.000556742,0.000556742
142,51.2782,0.7942,0.61568,0.8886,0.7878,0.72127,0.72061,0.64327,0.95321,1.31383,1.20587,0.000551584,0.000551584,0.000551584
143,51.6217,0.69249,0.57559,0.87253,0.7878,0.72127,0.72061,0.64327,0.95321,1.31383,1.20587,0.000546421,0.000546421,0.000546421
144,51.9776,0.74238,0.57259,0.85068,0.78639,0.71925,0.72084,0.6435,0.94403,1.33643,1.17256,0.000541253,0.000541253,0.000541253
145,52.3191,0.74208,0.55673,0.85177,0.78639,0.71925,0.72084,0.6435,0.94403,1.33643,1.17256,0.000536081,0.000536081,0.000536081
146,52.6839,0.79723,0.59803,0.86767,0.78668,0.71606,0.72106,0.64372,0.92112,1.35441,1.13864,0.000530906,0.000530906,0.000530906
147,53.0198,0.61442,0.55091,0.88298,0.78668,0.71606,0.72106,0.64372,0.92112,1.35441,1.13864,0.000525728,0.000525728,0.000525728
148,53.3942,0.67636,0.55891,0.87369,0.8482,0.68104,0.72144,0.6441,0.92706,1.35472,1.13693,0.000520548,0.000520548,0.000520548
149,53.7428,0.79114,0.57207,0.89426,0.8482,0.68104,0.72144,0.6441,0.92706,1.35472,1.13693,0.000515366,0.000515366,0.000515366
150,54.094,0.80572,0.57381,0.85148,0.8538,0.66981,0.72158,0.64424,0.95684,1.36097,1.13887,0.000510184,0.000510184,0.000510184
151,54.4463,0.70642,0.52818,0.86333,0.8538,0.66981,0.72158,0.64424,0.95684,1.36097,1.13887,0.000505,0.000505,0.000505
152,54.8153,0.71355,0.55298,0.84199,0.87282,0.65626,0.72123,0.62734,0.99267,1.39907,1.1423,0.000499816,0.000499816,0.000499816
153,55.1632,0.71174,0.5943,0.93983,0.87282,0.65626,0.72123,0.62734,0.99267,1.39907,1.1423,0.000494634,0.000494634,0.000494634
154,55.5223,0.7584,0.5972,0.86485,0.85363,0.70778,0.7212,0.63246,1.02777,1.3921,1.16148,0.000489452,0.000489452,0.000489452
155,55.8674,0.7526,0.58176,0.87399,0.85363,0.70778,0.7212,0.63246,1.02777,1.3921,1.16148,0.000484272,0.000484272,0.000484272
156,56.2292,0.75759,0.57677,0.88112,0.92811,0.72222,0.72113,0.61585,1.02017,1.38196,1.17082,0.000479094,0.000479094,0.000479094
157,56.5623,0.66016,0.51456,0.83628,0.92811,0.72222,0.72113,0.61585,1.02017,1.38196,1.17082,0.000473919,0.000473919,0.000473919
158,56.9198,0.6129,0.49359,0.85345,0.92409,0.72222,0.72073,0.63203,1.00714,1.34982,1.16803,0.000468747,0.000468747,0.000468747
159,57.2596,0.76096,0.60159,0.88147,0.92409,0.72222,0.72073,0.63203,1.00714,1.34982,1.16803,0.000463579,0.000463579,0.000463579
160,57.6166,0.74268,0.54487,0.92627,0.92911,0.72222,0.7207,0.63201,0.97555,1.29128,1.1418,0.000458416,0.000458416,0.000458416
161,57.9621,0.85317,0.57051,0.85837,0.92911,0.72222,0.7207,0.63201,0.97555,1.29128,1.1418,0.000453258,0.000453258,0.000453258
162,58.3132,0.67021,0.53067,0.86046,0.93445,0.72222,0.72056,0.61534,0.94891,1.28582,1.13451,0.000448106,0.000448106,0.000448106
163,58.6553,0.62465,0.568,0.86726,0.93445,0.72222,0.72056,0.61534,0.94891,1.28582,1.13451,0.00044296,0.00044296,0.00044296
164,59.0078,0.76984,0.57175,0.8836,0.943,0.72222,0.7206,0.61537,0.9565,1.32637,1.16265,0.000437821,0.000437821,0.000437821
165,59.3413,0.79333,0.61281,0.85723,0.943,0.72222,0.7206,0.61537,0.9565,1.32637,1.16265,0.000432689,0.000432689,0.000432689
166,59.7766,0.62646,0.53159,0.86588,0.94646,0.72222,0.72046,0.61525,0.91726,1.29289,1.14022,0.000427565,0.000427565,0.000427565
167,60.1251,0.71518,0.58668,0.85906,0.94646,0.72222,0.72046,0.61525,0.91726,1.29289,1.14022,0.000422449,0.000422449,0.000422449
168,60.4909,0.74261,0.5935,0.92506,0.95021,0.72222,0.72045,0.64311,0.98869,1.43436,1.21622,0.000417343,0.000417343,0.000417343
169,60.827,0.74839,0.65492,0.93221,0.95021,0.72222,0.72045,0.64311,0.98869,1.43436,1.21622,0.000412246,0.000412246,0.000412246
170,61.1927,0.55423,0.50299,0.82734,0.952,0.72222,0.72058,0.64325,1.04458,1.51063,1.26134,0.00040716,0.00040716,0.00040716
171,61.5365,0.70383,0.51404,0.85293,0.952,0.72222,0.72058,0.64325,1.04458,1.51063,1.26134,0.000402084,0.000402084,0.000402084
172,61.9047,0.72859,0.54262,0.91086,0.92647,0.72222,0.7205,0.64316,1.00227,1.42231,1.23178,0.000397019,0.000397019,0.000397019
173,62.241,0.68013,0.52371,0.89284,0.92647,0.72222,0.7205,0.64316,1.00227,1.42231,1.23178,0.000391966,0.000391966,0.000391966
174,62.5944,0.65412,0.50119,0.85502,0.89663,0.71895,0.72053,0.62665,1.04248,1.43597,1.24663,0.000386926,0.000386926,0.000386926
175,62.9325,0.75174,0.54981,0.91183,0.89663,0.71895,0.72053,0.62665,1.04248,1.43597,1.24663,0.000381899,0.000381899,0.000381899
176,63.2918,0.64846,0.51361,0.88292,0.85738,0.70666,0.72062,0.6599,1.02524,1.45069,1.22093,0.000376885,0.000376885,0.000376885
177,63.6217,0.77567,0.54781,0.93692,0.85738,0.70666,0.72062,0.6599,1.02524,1.45069,1.22093,0.000371885,0.000371885,0.000371885
178,64.0021,0.66569,0.53819,0.83671,0.83614,0.70361,0.72073,0.66,0.9086,1.36077,1.11982,0.000366899,0.000366899,0.000366899
179,64.3453,0.72902,0.49804,0.88554,0.83614,0.70361,0.72073,0.66,0.9086,1.36077,1.11982,0.000361929,0.000361929,0.000361929
180,64.6981,0.65759,0.51033,0.85817,0.83721,0.70535,0.72088,0.66015,0.91845,1.36764,1.12901,0.000356975,0.000356975,0.000356975
181,65.0512,0.686,0.54555,0.84735,0.83721,0.70535,0.72088,0.66015,0.91845,1.36764,1.12901,0.000352037,0.000352037,0.000352037
