epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,3752.89,0.69846,0.4787,0.8987,0.99136,0.83333,0.91333,0.88707,0.45532,0.46722,1.01675,0.0004588,0.0004588,0.0004588
166,3774.52,0.71399,0.49261,0.90313,1,0.83333,0.91333,0.86766,0.45409,0.42901,1.03685,0.0004555,0.0004555,0.0004555
167,3795.96,0.70654,0.48957,0.90381,1,0.83333,0.91333,0.88429,0.45763,0.42207,1.04537,0.0004522,0.0004522,0.0004522
168,3817.24,0.69278,0.48899,0.8992,0.99391,0.83333,0.91333,0.88055,0.48914,0.44702,1.086,0.0004489,0.0004489,0.0004489
169,3838.63,0.69462,0.4813,0.90032,1,0.83333,0.91333,0.89155,0.53513,0.46236,1.13643,0.0004456,0.0004456,0.0004456
170,3860.28,0.70711,0.49588,0.90365,1,0.83333,0.91333,0.89155,0.45527,0.54145,1.0586,0.0004423,0.0004423,0.0004423
171,3882.56,0.71645,0.50049,0.90695,1,0.83333,0.91333,0.89155,0.47681,0.54224,1.11578,0.000439,0.000439,0.000439
172,3904.36,0.69077,0.48505,0.89927,1,0.83333,0.91333,0.88429,0.40007,0.45838,1.0629,0.0004357,0.0004357,0.0004357
173,3926.23,0.69795,0.47909,0.9019,0.94148,0.83333,0.87083,0.84179,0.32721,0.35348,0.98469,0.0004324,0.0004324,0.0004324
174,3948.39,0.71026,0.49201,0.9035,0.91839,0.82046,0.87083,0.83805,0.46697,0.43797,1.03388,0.0004291,0.0004291,0.0004291
175,3970.92,0.69816,0.48633,0.89724,0.92063,0.83333,0.87083,0.82727,0.44696,0.44379,1.09798,0.0004258,0.0004258,0.0004258
176,3993.48,0.68865,0.47726,0.89694,1,0.83333,0.91333,0.87703,0.46743,0.54978,1.07525,0.0004225,0.0004225,0.0004225
177,4015.97,0.70579,0.48836,0.90047,0.93257,0.83333,0.87083,0.84179,0.44979,0.36547,1.09401,0.0004192,0.0004192,0.0004192
178,4038.43,0.68945,0.47944,0.89335,0.94189,0.83333,0.87083,0.82986,0.44842,0.4156,1.08205,0.0004159,0.0004159,0.0004159
179,4061.44,0.68665,0.48581,0.89361,1,0.83333,0.91333,0.88429,0.39321,0.39438,1.01217,0.0004126,0.0004126,0.0004126
180,4084.42,0.68626,0.49222,0.89885,1,0.83333,0.91333,0.89155,0.31953,0.40927,0.91862,0.0004093,0.0004093,0.0004093
181,4106.51,0.69489,0.48417,0.89922,0.96383,0.83333,0.87083,0.84905,0.28785,0.45792,0.90886,0.000406,0.000406,0.000406
182,4128.78,0.68651,0.47927,0.89664,1,0.83333,0.91333,0.89155,0.27826,0.37515,0.93512,0.0004027,0.0004027,0.0004027
183,4150.63,0.689,0.47475,0.89885,0.92511,0.83333,0.87083,0.84905,0.35984,0.41834,1.00639,0.0003994,0.0003994,0.0003994
184,4172.03,0.68608,0.48031,0.89547,0.94644,0.83333,0.87083,0.84905,0.32142,0.37673,0.91243,0.0003961,0.0003961,0.0003961
185,4193.65,0.69321,0.48398,0.89731,0.95856,0.83333,0.87083,0.85631,0.31291,0.38025,0.91366,0.0003928,0.0003928,0.0003928
186,4215.07,0.68877,0.48492,0.8948,0.88889,1,0.93944,0.90837,0.31652,0.29288,0.92042,0.0003895,0.0003895,0.0003895
187,4236.73,0.66378,0.46112,0.88969,1,0.83333,0.91333,0.89155,0.32288,0.25985,0.94887,0.0003862,0.0003862,0.0003862
